decision_route,model_used,predicted_flag,class_probabilities,primary_risk_probability,risk_score,risk_score_100,recommended_action,row_index,provider
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,18549,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,49890,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.043, 'class_1_prob': 0.1607, 'class_2_prob': 0.0546, 'class_3_prob': 0.7417}",0.7417,0.1607,16.07,Decilne - risk score below cut-off,40359,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,46035,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,15987,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,37876,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,23405,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,26955,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,10286,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,8703,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.7395, 'class_1_prob': 0.1614, 'class_2_prob': 0.0553, 'class_3_prob': 0.0438}",0.7395,0.1614,16.14,Decilne - risk score below cut-off,29783,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,47538,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.2376, 'class_1_prob': 0.1843, 'class_2_prob': 0.5274, 'class_3_prob': 0.0507}",0.5274,0.1843,18.43,Decilne - risk score below cut-off,16370,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,13298,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,42977,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,632,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,18110,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,47690,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,39640,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,51104,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,24857,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,5144,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,19476,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,20058,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,14647,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,20469,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,13797,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,34551,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0432, 'class_1_prob': 0.1612, 'class_2_prob': 0.0546, 'class_3_prob': 0.7411}",0.7411,0.1612,16.12,Decilne - risk score below cut-off,9671,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,36136,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,18957,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,17679,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,1884,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,6570,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,27492,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,48678,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,28409,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,37959,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,28880,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,24280,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,46916,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.043, 'class_1_prob': 0.1607, 'class_2_prob': 0.0546, 'class_3_prob': 0.7417}",0.7417,0.1607,16.07,Decilne - risk score below cut-off,19120,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,9170,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,29154,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,17988,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,4160,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,46502,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,42501,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.7375, 'class_1_prob': 0.1609, 'class_2_prob': 0.058, 'class_3_prob': 0.0436}",0.7375,0.1609,16.09,Decilne - risk score below cut-off,46437,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,5395,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,20460,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,13754,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,6976,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,45075,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,29362,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,31891,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,47818,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,26114,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,46510,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,23799,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.7405, 'class_1_prob': 0.1612, 'class_2_prob': 0.0546, 'class_3_prob': 0.0437}",0.7405,0.1612,16.12,Decilne - risk score below cut-off,5846,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,26628,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.7365, 'class_1_prob': 0.1626, 'class_2_prob': 0.0568, 'class_3_prob': 0.0441}",0.7365,0.1626,16.26,Decilne - risk score below cut-off,28,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,14967,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,35949,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,28582,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,7269,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,35375,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,29082,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,30916,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,21899,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,47344,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.7385, 'class_1_prob': 0.1608, 'class_2_prob': 0.0571, 'class_3_prob': 0.0436}",0.7385,0.1608,16.08,Decilne - risk score below cut-off,18170,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,15357,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,46977,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,37279,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,50444,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,28585,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,37928,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.2576, 'class_1_prob': 0.1794, 'class_2_prob': 0.5135, 'class_3_prob': 0.0494}",0.5135,0.1794,17.94,Decilne - risk score below cut-off,1742,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,10216,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,35742,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,45481,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,10363,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,14153,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,16999,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,542,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,31691,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,31768,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,10651,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,8439,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0543, 'class_3_prob': 0.7418}",0.7418,0.1609,16.09,Decilne - risk score below cut-off,34104,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,39934,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,30381,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,5712,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0434, 'class_1_prob': 0.1623, 'class_2_prob': 0.0554, 'class_3_prob': 0.7389}",0.7389,0.1623,16.23,Decilne - risk score below cut-off,48017,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,12019,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,9160,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,25127,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,3231,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,4352,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,33545,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0432, 'class_1_prob': 0.1612, 'class_2_prob': 0.0546, 'class_3_prob': 0.7411}",0.7411,0.1612,16.12,Decilne - risk score below cut-off,11185,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,24203,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,25373,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,28690,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,27323,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,38922,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,14152,
